event,url,date,title,sentence,Deaths,Injury,Location,Date,Time
road accident,https://www.wctv.tv/2020/09/01/pedestrian-killed-in-crash-at-crawfordville-highway-and-wilson-green-boulevard/,2020-09-01,Pedestrian killed in crash at Crawfordville Highway and Wilson Green Boulevard,"According to police, the pedestrian ran into the road and into the path of a vehicle traveling south on Crawfordville Highway as it approached the intersection.",0,0,1,0,0
road accident,https://www.wctv.tv/2020/09/01/pedestrian-killed-in-crash-at-crawfordville-highway-and-wilson-green-boulevard/,2020-09-01,Pedestrian killed in crash at Crawfordville Highway and Wilson Green Boulevard,"Robert Keahey, 54, was the pedestrian who died, TPD says.",1,0,0,0,0
road accident,https://www.wctv.tv/2020/09/01/pedestrian-killed-in-crash-at-crawfordville-highway-and-wilson-green-boulevard/,2020-09-01,Pedestrian killed in crash at Crawfordville Highway and Wilson Green Boulevard,The Tallahassee Police Department says a pedestrian was killed in a crash at the intersection of Crawfordville Highway and Wilson Green Boulevard around 8:30 p.m. Monday.,1,0,1,1,1
road accident,https://www.wctv.tv/2020/09/01/pedestrian-killed-in-crash-at-crawfordville-highway-and-wilson-green-boulevard/,2020-09-01,Pedestrian killed in crash at Crawfordville Highway and Wilson Green Boulevard,"TPD says the driver was unable to avoid the crash, hitting the pedestrian and killing him.",1,0,0,0,0
road accident,https://www.tallahassee.com/story/news/2020/09/01/pedestrian-killed-crawfordville-highway-crash/3456349001/,2020-09-01,Pedestrian killed in Crawfordville Highway crash; TPD investigating,A 54-year-old man was killed when police say he ran into the path of a car on Crawfordville Highway Monday night.,1,0,1,1,1
road accident,https://www.tallahassee.com/story/news/2020/09/01/pedestrian-killed-crawfordville-highway-crash/3456349001/,2020-09-01,Pedestrian killed in Crawfordville Highway crash; TPD investigating,"Robert Keahey was killed in the crash at about 8:30 p.m., according to the city of Tallahassee.",1,0,1,0,1
road accident,https://www.tallahassee.com/story/news/2020/09/01/pedestrian-killed-crawfordville-highway-crash/3456349001/,2020-09-01,Pedestrian killed in Crawfordville Highway crash; TPD investigating,"The vehicle was traveling south on Crawfordville Highway near Wilson Green Boulevard when Keahey ran into the road, according to police.",0,0,1,0,0
road accident,https://www.necn.com/news/local/pedestrian-killed-in-freetown-crash/2318224/,2020-09-01,Pedestrian Killed in Freetown Crash,"A man has died after being hit by a vehicle overnight in Freetown, Massachusetts.",1,0,1,0,0
road accident,https://www.necn.com/news/local/pedestrian-killed-in-freetown-crash/2318224/,2020-09-01,Pedestrian Killed in Freetown Crash,Pennenga was later pronounced dead.,1,0,0,0,0
road accident,https://www.necn.com/news/local/pedestrian-killed-in-freetown-crash/2318224/,2020-09-01,Pedestrian Killed in Freetown Crash,"Police were called to County Road around 1 a.m. Tuesday, according to the Bristol County District Attorney's Office.",0,0,1,1,1
road accident,https://www.necn.com/news/local/pedestrian-killed-in-freetown-crash/2318224/,2020-09-01,Pedestrian Killed in Freetown Crash,"They found 35-year-old Christopher Pennenga of Freetown, who had been hit by a vehicle, lying injured on the road.",0,1,1,0,0
road accident,https://www.dailycommercial.com/story/news/accident/2020/09/01/leesburg-pedestrian-killed-overnight-crash-us-highway-27/3454784001/,2020-09-01,Pedestrian killed in Leesburg crash on US Highway 27,"A Leesburg man died at the hospital Monday night after he was struck by a pickup while crossing US Highway 27 near Griffin Road, police say.",1,0,1,1,1
road accident,https://www.dailycommercial.com/story/news/accident/2020/09/01/leesburg-pedestrian-killed-overnight-crash-us-highway-27/3454784001/,2020-09-01,Pedestrian killed in Leesburg crash on US Highway 27,He died not long after.,1,0,0,0,0
road accident,https://www.dailycommercial.com/story/news/accident/2020/09/01/leesburg-pedestrian-killed-overnight-crash-us-highway-27/3454784001/,2020-09-01,Pedestrian killed in Leesburg crash on US Highway 27,"He was transported to UF Health Leesburg shortly after, where he died of his injuries.",1,0,1,0,0
road accident,https://www.dailycommercial.com/story/news/accident/2020/09/01/leesburg-pedestrian-killed-overnight-crash-us-highway-27/3454784001/,2020-09-01,Pedestrian killed in Leesburg crash on US Highway 27,"Joseph Meister, 54, of Leesburg, was reportedly struck by the vehicle at around 10:04 p.m. according to a statement from Leesburg Police Captain Joe Iozzi.",0,1,1,0,1
road accident,https://www.cincinnati.com/story/news/local/hamiltoncounty/2020/09/01/cincinnati-police-said-pedestrian-killed-sunday-west-side-crash/3454502001/,2020-09-01,Pedestrian standing on the sidewalk killed Sunday night in Harrison Avenue crash,"A 66-year-old man and 54-year-old woman were the other two pedestrians who received minor injuries after being struck, police said in the release.",0,1,0,0,0
road accident,https://www.cincinnati.com/story/news/local/hamiltoncounty/2020/09/01/cincinnati-police-said-pedestrian-killed-sunday-west-side-crash/3454502001/,2020-09-01,Pedestrian standing on the sidewalk killed Sunday night in Harrison Avenue crash,Cincinnati Fire Department treated the injured man and woman at the scene.,0,1,1,0,0
road accident,https://www.cincinnati.com/story/news/local/hamiltoncounty/2020/09/01/cincinnati-police-said-pedestrian-killed-sunday-west-side-crash/3454502001/,2020-09-01,Pedestrian standing on the sidewalk killed Sunday night in Harrison Avenue crash,"Moller received minor injuries because of the crash that did not require medical treatment, according to the release.",0,1,0,0,0
road accident,https://www.cincinnati.com/story/news/local/hamiltoncounty/2020/09/01/cincinnati-police-said-pedestrian-killed-sunday-west-side-crash/3454502001/,2020-09-01,Pedestrian standing on the sidewalk killed Sunday night in Harrison Avenue crash,Police said 20-year-old Arnell Moller was driving a 2010 Ford F-150 pickup truck north on Harrison Avenue prior to the crash.,0,0,1,0,0
road accident,https://www.cincinnati.com/story/news/local/hamiltoncounty/2020/09/01/cincinnati-police-said-pedestrian-killed-sunday-west-side-crash/3454502001/,2020-09-01,Pedestrian standing on the sidewalk killed Sunday night in Harrison Avenue crash,"Ronald Bardo, 66, was pronounced dead at the scene after police responded to the crash at approximately 10:20 p.m. at 1692 Harrison Ave. on the city's West Side, according to a Cincinnati Police Department release.",1,0,1,0,1
road accident,https://www.cincinnati.com/story/news/local/hamiltoncounty/2020/09/01/cincinnati-police-said-pedestrian-killed-sunday-west-side-crash/3454502001/,2020-09-01,Pedestrian standing on the sidewalk killed Sunday night in Harrison Avenue crash,"The pickup truck left the roadway, drove onto the sidewalk, and struck the three pedestrians, according to the release.",0,1,0,0,0
road accident,https://www.cincinnati.com/story/news/local/hamiltoncounty/2020/09/01/cincinnati-police-said-pedestrian-killed-sunday-west-side-crash/3454502001/,2020-09-01,Pedestrian standing on the sidewalk killed Sunday night in Harrison Avenue crash,Cincinnati police said a Sunday crash on Harrison Avenue in South Fairmount killed a man standing on a sidewalk and injured two other pedestrians standing on the sidewalk.,1,1,1,1,0
earthquake,https://www.onenewspage.com/video/20200901/13315057/Power-cables-explode-as-earthquake-hits-Chile.htm,2020-09-01,Power cables explode as earthquake hits Chile,"A magnitude 6.8 earthquake shakes a radio station in Copiapo, Chile, causing sparks and explosions from nearby power lines this morning (September 1).",0,0,1,1,1
earthquake,https://www.onenewspage.com/video/20200901/13315057/Power-cables-explode-as-earthquake-hits-Chile.htm,2020-09-01,Power cables explode as earthquake hits Chile,The quake struck near the coast of Northern Chile shortly after midnight at 12:09 a.m.,0,0,1,0,1
earthquake,https://www.nbcbayarea.com/news/local/earthquakes/preliminary-2-5-magnitude-quake-rattles-the-south-bay/2355600/,2020-09-01,Preliminary 2.5 Magnitude Quake Rattles the South Bay,"A preliminary 2.5 magnitude earthquake struck Santa Clara County early Tuesday morning, according to the United States Geological Survey.",0,0,1,1,1
road accident,https://www.mlive.com/news/saginaw-bay-city/2020/09/teenager-on-bike-killed-in-northern-michigan-community-of-east-tawas.html,2020-09-01,Teenager on bike killed in northern Michigan community of East Tawas,A teenage bicyclist died after having been struck by a pickup truck in Iosco County.,0,1,1,0,0
road accident,https://www.mlive.com/news/saginaw-bay-city/2020/09/teenager-on-bike-killed-in-northern-michigan-community-of-east-tawas.html,2020-09-01,Teenager on bike killed in northern Michigan community of East Tawas,"About 3:30 p.m. on Monday, Aug. 31, troopers from the Michigan State Police West Branch Post responded to a personal-injury crash at the intersection of U.S. 23 and Tawas Beach Road in East Tawas.",0,0,1,1,1
road accident,https://www.mlive.com/news/saginaw-bay-city/2020/09/teenager-on-bike-killed-in-northern-michigan-community-of-east-tawas.html,2020-09-01,Teenager on bike killed in northern Michigan community of East Tawas,"As he was crossing the road in the crosswalk, a northbound 2019 Dodge Ram pickup truck driven by a 62-year-old East Tawas man turned right onto Tawas Beach Road and struck the bicyclist.",0,1,1,0,0
road accident,https://www.mlive.com/news/saginaw-bay-city/2020/09/teenager-on-bike-killed-in-northern-michigan-community-of-east-tawas.html,2020-09-01,Teenager on bike killed in northern Michigan community of East Tawas,First responders pronounced the teen deceased at the scene.,1,0,0,0,0
road accident,https://www.vvng.com/three-people-injured-following-crash-on-la-mesa-road-in-victorville/,2020-09-01,Three people injured following crash on La Mesa Road in Victorville,"According to scanner traffic, three people suffered minor injuries and were transported by ground ambulance to a local hospital.",0,1,0,0,0
road accident,https://www.vvng.com/three-people-injured-following-crash-on-la-mesa-road-in-victorville/,2020-09-01,Three people injured following crash on La Mesa Road in Victorville,"San Bernardino County Sheriff’s Deputies and emergency personnel from the Victorville Fire Department, AMR responded to a two-vehicle crash reported at 12:04 p.m. at the intersection of La Mesa and Petaluma Roads.",0,0,1,0,1
road accident,https://www.vvng.com/three-people-injured-following-crash-on-la-mesa-road-in-victorville/,2020-09-01,Three people injured following crash on La Mesa Road in Victorville,Three people were injured a crash that shut down La Mesa Road Tuesday afternoon in Victorville.,0,1,1,1,1
road accident,https://www.nj.com/middlesex/2020/09/truck-driver-killed-in-crash-on-industrial-road.html,2020-09-01,Truck driver killed in crash on industrial road,"A truck driver was killed in a crash on an industrial road in South Brunswick on Monday night, authorities said.",1,0,1,1,1
road accident,https://www.nj.com/middlesex/2020/09/truck-driver-killed-in-crash-on-industrial-road.html,2020-09-01,Truck driver killed in crash on industrial road,Paramedics attempted life-saving measures before the driver was pronounced dead at the scene.,1,0,0,0,0
road accident,https://www.nj.com/middlesex/2020/09/truck-driver-killed-in-crash-on-industrial-road.html,2020-09-01,Truck driver killed in crash on industrial road,"The crash took place on Corn Road at about 9:15 p.m. and left the cab of the tractor-trailer entangled with its flatbed tractor, according to South Brunswick police.",0,0,1,0,1
assault,https://thestreetjournal.org/2020/09/two-shot-as-robbers-attack-passengers-along-benin-asaba-highway/,2020-09-01,Two shot as robbers attack passengers along Benin-Asaba highway,"Heavily armed robbers attacked commuters along Benin-Asaba highway, Benin City in Edo State, on Tuesday.",0,0,1,1,0
assault,https://thestreetjournal.org/2020/09/two-shot-as-robbers-attack-passengers-along-benin-asaba-highway/,2020-09-01,Two shot as robbers attack passengers along Benin-Asaba highway,"The bandits’ operation, which started around 4 p.m., lasted for more than 20 minutes, was witnessed by PREMIUM TIMES.",0,0,0,0,1
assault,https://thestreetjournal.org/2020/09/two-shot-as-robbers-attack-passengers-along-benin-asaba-highway/,2020-09-01,Two shot as robbers attack passengers along Benin-Asaba highway,"While it was not clear whether the robbers made away with any items or valuables, it was confirmed that two persons including the driver of a black SUV were shot.",0,1,0,0,0
assault,https://www.itv.com/news/utv/2020-09-01/woman-attacked-with-hammer-in-coleraine-break-in,2020-09-01,Woman attacked with hammer in Coleraine break-in,A woman has been attacked with a hammer during a break-in at a house in Coleraine.,0,1,1,0,0
assault,https://www.itv.com/news/utv/2020-09-01/woman-attacked-with-hammer-in-coleraine-break-in,2020-09-01,Woman attacked with hammer in Coleraine break-in,Police report that two men entered the home in Mossvale Park at around 11:15 on Monday night.,0,0,1,1,1
assault,https://www.itv.com/news/utv/2020-09-01/woman-attacked-with-hammer-in-coleraine-break-in,2020-09-01,Woman attacked with hammer in Coleraine break-in,"They threatened two women who were inside, one of which was hit on the leg with a hammer.",0,1,0,0,0
assault,https://www.al.com/news/birmingham/2020/09/he-uplifted-you-family-mourns-man-killed-in-birmingham-shooting-over-a-woman.html,2020-09-02,‘He uplifted you’: Family mourns man killed in Birmingham shooting over a woman,"Authorities and family say he went to the apartment early Sunday, and it was then he got into some kind of dispute with another man who was there.",0,0,0,1,0
assault,https://www.al.com/news/birmingham/2020/09/he-uplifted-you-family-mourns-man-killed-in-birmingham-shooting-over-a-woman.html,2020-09-02,‘He uplifted you’: Family mourns man killed in Birmingham shooting over a woman,Christopher Vance died at the front door of an Ensley apartment where he had lived with his son and his son’s mother up until about a week before the deadly shooting,1,0,1,0,0
assault,https://www.al.com/news/birmingham/2020/09/he-uplifted-you-family-mourns-man-killed-in-birmingham-shooting-over-a-woman.html,2020-09-02,‘He uplifted you’: Family mourns man killed in Birmingham shooting over a woman,Family and friends are mourning a 29-year-old man police say was killed in a dispute with another man over a woman.,1,0,0,0,0
assault,https://www.al.com/news/birmingham/2020/09/he-uplifted-you-family-mourns-man-killed-in-birmingham-shooting-over-a-woman.html,2020-09-02,‘He uplifted you’: Family mourns man killed in Birmingham shooting over a woman,Sherry said there are conflicting stories about what happened in the early-morning hours when Chris was killed. ,1,0,0,0,1
road accident,https://www.thedailymeal.com/entertain/i-would-never-think-she-would-go-out-way-matriarch-staten-island-immigrant-family-killed,2020-09-02,‘I would never think she would go out this way’: Matriarch of Staten Island immigrant family killed in freak crash outside her home remembered as selfless,"Molly Kamalakshan, 68, died Tuesday afternoon after she was hit by an elderly driver who first plowed into her parked van, then backed over her when she walked outside the house to see what happened.",1,0,0,1,1
road accident,https://www.thespec.com/news/hamilton-region/2020/09/02/its-just-so-painful-family-mourns-loss-of-father-killed-in-single-vehicle-collision.html,2020-09-02,‘It’s just so painful’: Family mourns loss of father killed in single-vehicle collision,"Police said Young, 44, was driving his dark blue 2006 BMW eastbound on South Service Road from Centennial Parkway North.",0,0,1,0,0
road accident,https://www.thespec.com/news/hamilton-region/2020/09/02/its-just-so-painful-family-mourns-loss-of-father-killed-in-single-vehicle-collision.html,2020-09-02,‘It’s just so painful’: Family mourns loss of father killed in single-vehicle collision,"Shortly after 4:20 p.m., police responded to a single-vehicle crash in the area of South Service Road and Lake Avenue Drive in the northeast end of the city.",0,0,1,0,1
road accident,https://www.thespec.com/news/hamilton-region/2020/09/02/its-just-so-painful-family-mourns-loss-of-father-killed-in-single-vehicle-collision.html,2020-09-02,‘It’s just so painful’: Family mourns loss of father killed in single-vehicle collision,"When paramedics arrived at the scene, they found Young “extensively trapped” and without vital signs. ",1,0,0,0,0
hurricane,https://upnewsinfo.com/2020/09/02/long-road-ahead-to-rebuild-after-hurricane-laura-louisiana-governor-says/,2020-09-02,"‘Long road’ ahead to rebuild after Hurricane Laura, Louisiana governor says","Edwards urged people, particularly in hardest-hit southwestern Louisiana, to follow the guidance of their local authorities on when it’s safe to return home and stay there, with estimates that places like Cameron Parish could wait weeks before splintered transmission lines could be rebuilt.",0,0,1,0,0
hurricane,https://upnewsinfo.com/2020/09/02/long-road-ahead-to-rebuild-after-hurricane-laura-louisiana-governor-says/,2020-09-02,"‘Long road’ ahead to rebuild after Hurricane Laura, Louisiana governor says","Lake Charles resident Shirley Andrus looks into her vehicle, crushed by a fallen tree as Hurricane Laura passed through the area on Aug. 27.",0,0,1,1,0
hurricane,https://upnewsinfo.com/2020/09/02/long-road-ahead-to-rebuild-after-hurricane-laura-louisiana-governor-says/,2020-09-02,"‘Long road’ ahead to rebuild after Hurricane Laura, Louisiana governor says","Laura roared ashore last Thursday as a Category 4 hurricane just south of Lake Charles near Cameron, La., packing 240 km/h winds and a storm surge as high as 4½ metres in some areas. ",0,0,1,1,0
hurricane,https://upnewsinfo.com/2020/09/02/long-road-ahead-to-rebuild-after-hurricane-laura-louisiana-governor-says/,2020-09-02,"‘Long road’ ahead to rebuild after Hurricane Laura, Louisiana governor says","Power crews are working to restore electricity across storm-devastated Louisiana, road crews are clearing debris, and thousands of tarps are to be distributed to patch over wrecked roofs.",0,0,1,0,0
hurricane,https://upnewsinfo.com/2020/09/02/long-road-ahead-to-rebuild-after-hurricane-laura-louisiana-governor-says/,2020-09-02,"‘Long road’ ahead to rebuild after Hurricane Laura, Louisiana governor says",Twenty-one deaths in Louisiana and Texas have been attributed to the storm.,1,0,1,0,0
hurricane,https://upnewsinfo.com/2020/09/02/long-road-ahead-to-rebuild-after-hurricane-laura-louisiana-governor-says/,2020-09-02,"‘Long road’ ahead to rebuild after Hurricane Laura, Louisiana governor says","Two more deaths were reported on Wednesday, increasing the storm’s U.S. death toll to 21.",1,0,1,0,0
assault,https://www.clickorlando.com/news/local/2020/09/02/shoot-her-bae-woman-tells-girlfriend-to-fatally-shoot-ex-during-fight-police-say/,2020-09-02,"‘Shoot her, bae:’ Woman tells girlfriend to fatally shoot ex during fight, police say","A woman shot her girlfriend’s ex-girlfriend nine times at her partner’s request during a fight about Facebook, all while the victim was recording the altercation on her phone, according to the Cocoa Police Department.",0,1,0,0,0
assault,https://www.clickorlando.com/news/local/2020/09/02/shoot-her-bae-woman-tells-girlfriend-to-fatally-shoot-ex-during-fight-police-say/,2020-09-02,"‘Shoot her, bae:’ Woman tells girlfriend to fatally shoot ex during fight, police say","Lennear was taken to an area hospital, where she died.",1,0,0,0,0
assault,https://www.clickorlando.com/news/local/2020/09/02/shoot-her-bae-woman-tells-girlfriend-to-fatally-shoot-ex-during-fight-police-say/,2020-09-02,"‘Shoot her, bae:’ Woman tells girlfriend to fatally shoot ex during fight, police say","Police said they received a call Tuesday evening about a shooting at an apartment complex on North Fiske Boulevard and when they arrived, they found Nitekka Nesha Lennear, 27, suffering from gunshot wounds to her chest, forearm, back, neck and side.",0,1,1,1,1
assault,https://localnews8.com/news/2020/09/02/terrible-tragedy-authorities-make-arrest-in-shooting-death-of-local-veteran/,2020-09-02,"‘Terrible tragedy,” authorities make arrest in shooting death of local veteran",A McDowell County man has been charged with murder in the shooting death of a local veteran.,1,0,0,0,0
assault,https://localnews8.com/news/2020/09/02/terrible-tragedy-authorities-make-arrest-in-shooting-death-of-local-veteran/,2020-09-02,"‘Terrible tragedy,” authorities make arrest in shooting death of local veteran","On Wednesday, Aug. 19, 2020, deputies responded to a residence on Harmony Grove Road in Nebo to find the homeowner, 85-15-old Carroll Franklin Eckard, deceased.",1,0,1,1,0
assault,https://www.nbcbayarea.com/news/local/1-dead-in-san-jose-shooting-suspect-at-large-police/2356352/,2020-09-02,1 Dead in San Jose Shooting; Gunman At-Large: Police,Arriving officers found a male with at least one gunshot wound. ,0,1,0,0,0
assault,https://www.nbcbayarea.com/news/local/1-dead-in-san-jose-shooting-suspect-at-large-police/2356352/,2020-09-02,1 Dead in San Jose Shooting; Gunman At-Large: Police,Police early Wednesday morning were investigating a fatal shooting that occurred late Tuesday night in a San Jose neighborhood just a few blocks north of Yerba Buena High School.,0,0,1,1,1
assault,https://www.nbcbayarea.com/news/local/1-dead-in-san-jose-shooting-suspect-at-large-police/2356352/,2020-09-02,1 Dead in San Jose Shooting; Gunman At-Large: Police,"San Jose fire crews performed CPR on the victim, but he was pronounced dead at the scene, police said.",1,0,0,0,0
assault,https://www.nbcbayarea.com/news/local/1-dead-in-san-jose-shooting-suspect-at-large-police/2356352/,2020-09-02,1 Dead in San Jose Shooting; Gunman At-Large: Police,"San Jose police received an anonymous call reporting shots fired at about 11:50 p.m. Tuesday in the area of Clemence Avenue and Walnut Woods Court, near McLaughlin Park, police said.",0,0,1,1,1
assault,https://www.wthr.com/article/news/crime/one-dead-east-indianapolis-shooting/531-fffe0aeb-2ab9-4544-ad30-ac960381f7b2,2020-09-02,1 killed in east Indianapolis shooting,"IMPD officers responded to a report of a person shot in the 2900 block of Priscilla Avenue, near North Arlington Avenue and East 27th Street, shortly after 10 p.m. Tuesday.",0,1,1,1,1
assault,https://www.wthr.com/article/news/crime/one-dead-east-indianapolis-shooting/531-fffe0aeb-2ab9-4544-ad30-ac960381f7b2,2020-09-02,1 killed in east Indianapolis shooting,One person has died in a shooting on the east side of Indianapolis,1,0,1,0,0
assault,https://www.wthr.com/article/news/crime/one-dead-east-indianapolis-shooting/531-fffe0aeb-2ab9-4544-ad30-ac960381f7b2,2020-09-02,1 killed in east Indianapolis shooting,Police said the victim later died of their injuries.,1,0,0,0,0
assault,https://www.wthr.com/article/news/crime/one-dead-east-indianapolis-shooting/531-fffe0aeb-2ab9-4544-ad30-ac960381f7b2,2020-09-02,1 killed in east Indianapolis shooting,"When officers arrived, they found a victim suffering from an apparent gunshot wound.",0,1,0,0,0
assault,https://www.whas11.com/article/news/crime/shooting-south-shelby-street/417-3c6a3dcc-3a4c-485a-be45-dded55c89b5b,2020-09-02,1 killed in South Shelby Street shooting,"A person is dead following a shooting in the Merriweather neighborhood, according to Louisville Metro Police.",1,0,1,0,0
assault,https://www.whas11.com/article/news/crime/shooting-south-shelby-street/417-3c6a3dcc-3a4c-485a-be45-dded55c89b5b,2020-09-02,1 killed in South Shelby Street shooting,Fourth Division officers responded to the 1500 block of South Shelby Street where they located a male who sustained a gunshot wound.,0,1,1,0,0
assault,https://www.whas11.com/article/news/crime/shooting-south-shelby-street/417-3c6a3dcc-3a4c-485a-be45-dded55c89b5b,2020-09-02,1 killed in South Shelby Street shooting,Police said a victim was shot in the 1500 block of South Shelby Street late Monday.,0,1,1,1,0
assault,https://www.whas11.com/article/news/crime/shooting-south-shelby-street/417-3c6a3dcc-3a4c-485a-be45-dded55c89b5b,2020-09-02,1 killed in South Shelby Street shooting,The victim was taken to UofL Hospital where he later died from his injuries.,1,0,1,0,0
assault,https://www.wkrn.com/news/crime-tracker/1-killed-1-wounded-in-east-nashville-shooting/,2020-09-02,"1 killed, 1 wounded in East Nashville shooting",Metro police are investigating after one person was killed and another wounded in a shooting in East Nashville Tuesday night,1,1,1,1,1
assault,https://www.wkrn.com/news/crime-tracker/1-killed-1-wounded-in-east-nashville-shooting/,2020-09-02,"1 killed, 1 wounded in East Nashville shooting","A second shooting victim, a 39-year-old man, had injuries that were not life-threatening, according to investigators.",0,1,0,0,0
assault,https://www.wkrn.com/news/crime-tracker/1-killed-1-wounded-in-east-nashville-shooting/,2020-09-02,"1 killed, 1 wounded in East Nashville shooting","Gardner was sitting on the stoop of the apartment building near her unit, when she was shot in the head, police determined.",0,1,0,0,0
assault,https://www.wkrn.com/news/crime-tracker/1-killed-1-wounded-in-east-nashville-shooting/,2020-09-02,"1 killed, 1 wounded in East Nashville shooting","He told detectives he was walking toward the apartment building to visit a relative, when shots were fired and he was struck.",0,1,0,0,0
assault,https://www.wkrn.com/news/crime-tracker/1-killed-1-wounded-in-east-nashville-shooting/,2020-09-02,"1 killed, 1 wounded in East Nashville shooting","Officers responded just after 8:30 p.m. to a shooting outside the RiverChase Apartments on Joseph Avenue, off Dickerson Pike.",0,0,1,0,1
assault,https://www.wkrn.com/news/crime-tracker/1-killed-1-wounded-in-east-nashville-shooting/,2020-09-02,"1 killed, 1 wounded in East Nashville shooting","She was taken to Vanderbilt University Medical Center, where she died.",1,0,1,0,0
assault,https://www.wkrn.com/news/crime-tracker/1-killed-1-wounded-in-east-nashville-shooting/,2020-09-02,"1 killed, 1 wounded in East Nashville shooting","When police arrived, they said they found Michelle Gardner, 35, with a gunshot wound to her head.",0,1,0,0,0
flood,https://www.myhighplains.com/news/oklahoma/1-man-believed-drowned-as-storms-flood-oklahoma-arkansas/,2020-09-02,"1 man believed drowned as storms flood Oklahoma, Arkansas",A man is believed to have drowned when his vehicle was swept off an Oklahoma City street as strong storms brought heavy rainfall and flooding.,1,0,1,0,0
flood,https://www.myhighplains.com/news/oklahoma/1-man-believed-drowned-as-storms-flood-oklahoma-arkansas/,2020-09-02,"1 man believed drowned as storms flood Oklahoma, Arkansas",District Fire Chief Benny Fulkerson said Tuesday that searchers have not been able to find the man who disappeared shortly before midnight Monday after last being seen on top of his vehicle.,0,0,0,1,1
assault,https://www.680news.com/2020/09/02/1-man-injured-in-shooting-near-dufferin-and-hwy-401/,2020-09-02,1 man injured in shooting near Dufferin and Hwy. 401,"Officers on scene found evidence of gunfire and shell casings in the area, but no victims.",0,1,0,0,0
assault,https://www.680news.com/2020/09/02/1-man-injured-in-shooting-near-dufferin-and-hwy-401/,2020-09-02,1 man injured in shooting near Dufferin and Hwy. 401,One man has been injured in a possible “drive-by” shooting near Dufferin Street and Highway 401.,0,1,1,0,0
assault,https://www.680news.com/2020/09/02/1-man-injured-in-shooting-near-dufferin-and-hwy-401/,2020-09-02,1 man injured in shooting near Dufferin and Hwy. 401,Police say they were called to Dufferin and Bridgeland Avenue around 8 p.m. to reports of shots fired at a business.,0,0,1,0,1
assault,https://www.680news.com/2020/09/02/1-man-injured-in-shooting-near-dufferin-and-hwy-401/,2020-09-02,1 man injured in shooting near Dufferin and Hwy. 401,"Shortly after, a man checked into a local hospital with a gunshot wound and was confirmed to be a victim of the shooting.",0,1,0,0,0
assault,https://myfox8.com/news/1-person-injured-during-shooting-on-rugby-street-in-greensboro/,2020-09-02,1 person injured during shooting on Rugby Street in Greensboro,"At about 10:33 p.m. Tuesday night, officers responded to the scene on the 800 block of Rugby Street.",0,0,1,1,1
assault,https://myfox8.com/news/1-person-injured-during-shooting-on-rugby-street-in-greensboro/,2020-09-02,1 person injured during shooting on Rugby Street in Greensboro,Police are investigating a shooting in Greensboro that left one person injured.,0,1,1,0,0
assault,https://myfox8.com/news/1-person-injured-during-shooting-on-rugby-street-in-greensboro/,2020-09-02,1 person injured during shooting on Rugby Street in Greensboro,Police found one person with injuries from apparent gunfire.,0,1,0,0,0
assault,https://www.fox46.com/news/1-seriously-injured-in-northwest-charlotte-shooting-medic-says/,2020-09-02,"1 seriously injured in northwest Charlotte shooting, Medic says",One person was left with life-threatening injuries following a shooting in northwest Charlotte.,0,1,1,0,0
assault,https://www.fox46.com/news/1-seriously-injured-in-northwest-charlotte-shooting-medic-says/,2020-09-02,"1 seriously injured in northwest Charlotte shooting, Medic says",Police and Medic were called to the 800 block of Norwood Drive where it was confirmed that one person was shot.,0,1,1,0,0
assault,https://www.fox46.com/news/1-seriously-injured-in-northwest-charlotte-shooting-medic-says/,2020-09-02,"1 seriously injured in northwest Charlotte shooting, Medic says",The 911 caller reportedly told dispatch the victim was a man who had been shot in the leg and was seen hobbling up the road with the injury.,0,1,0,0,0
assault,https://www.fox46.com/news/1-seriously-injured-in-northwest-charlotte-shooting-medic-says/,2020-09-02,"1 seriously injured in northwest Charlotte shooting, Medic says",The victim was rushed to CMC Main by Medic to be treated for serious injuries. ,0,1,0,0,0
road accident,https://chicago.cbslocal.com/2020/09/02/10-year-old-girl-dead-5-year-old-boy-critically-injured-after-vehicle-fleeing-police-hits-car-in-auburn-gresham/,2020-09-02,"10-Year-Old Girl Dead, 5-Year-Old Boy Critically Injured After Vehicle Fleeing Police Hits Two Cars In Auburn Gresham","A 10-year-old girl was killed and her 5-year-old brother was critically injured Wednesday afternoon, when a car fleeing from police caused a crash in the Auburn Gresham neighborhood.",1,1,1,1,1
road accident,https://chicago.cbslocal.com/2020/09/02/10-year-old-girl-dead-5-year-old-boy-critically-injured-after-vehicle-fleeing-police-hits-car-in-auburn-gresham/,2020-09-02,"10-Year-Old Girl Dead, 5-Year-Old Boy Critically Injured After Vehicle Fleeing Police Hits Two Cars In Auburn Gresham","Family was inconsolable outside the University of Chicago’s Comer Children’s Hospital after learning a violent car crash killed Da’Karia Spicer, 10. ",1,0,1,0,0
road accident,https://chicago.cbslocal.com/2020/09/02/10-year-old-girl-dead-5-year-old-boy-critically-injured-after-vehicle-fleeing-police-hits-car-in-auburn-gresham/,2020-09-02,"10-Year-Old Girl Dead, 5-Year-Old Boy Critically Injured After Vehicle Fleeing Police Hits Two Cars In Auburn Gresham","Her little brother Dhaamir, just 5, was severely injured in the wreck.",0,1,0,0,0
